name,p,q,trusted,untrusted,irbl,irblc,mixed,glc,symetric,total
banknote,0.02,0.5,0.43272727272727274,0.12727272727272732,0.2981818181818182,0.4254545454545454,0.0690909090909092,0.21818181818181814,0.19272727272727275,0.07636363636363641
banknote,0.02,0.4,0.5054545454545454,0.2836363636363637,0.4436363636363636,0.48,0.1454545454545455,0.7709090909090909,0.1963636363636364,0.07636363636363641
banknote,0.02,0.3,0.8,0.12727272727272732,0.6436363636363636,0.36363636363636365,0.10545454545454547,0.6763636363636364,0.19999999999999996,0.07636363636363641
banknote,0.02,0.2,0.5527272727272727,0.02545454545454562,0.2654545454545455,0.31999999999999995,0.2836363636363637,0.6872727272727273,0.13818181818181818,0.07636363636363641
banknote,0.02,0.1,0.33090909090909093,0.39636363636363636,0.3054545454545454,0.19272727272727275,0.4254545454545454,0.6145454545454545,0.2909090909090909,0.07636363636363641
banknote,0.02,0.0,0.26181818181818184,0.3927272727272727,0.33090909090909093,0.14181818181818184,0.13090909090909086,0.7018181818181819,0.15636363636363637,0.07636363636363641
banknote,0.05,1.0,0.36,0.10909090909090913,0.14181818181818184,0.02545454545454562,0.0945454545454546,0.19999999999999996,0.16727272727272724,0.07636363636363641
banknote,0.05,0.9,0.21090909090909093,0.0945454545454546,0.09818181818181804,0.17454545454545456,0.08363636363636362,0.1709090909090909,0.18545454545454543,0.07636363636363641
banknote,0.05,0.8,0.6509090909090909,0.12,0.10181818181818181,0.31999999999999995,0.07636363636363641,0.11636363636363634,0.17454545454545456,0.07636363636363641
banknote,0.05,0.7,0.6618181818181819,0.12363636363636366,0.31999999999999995,0.22545454545454546,0.0690909090909092,0.2654545454545455,0.17818181818181822,0.07636363636363641
banknote,0.05,0.6,0.5163636363636364,0.10545454545454547,0.4181818181818182,0.43999999999999995,0.13818181818181818,0.19272727272727275,0.22909090909090912,0.07636363636363641
banknote,0.05,0.5,0.1890909090909091,0.07636363636363641,0.10181818181818181,0.19272727272727275,0.08363636363636362,0.27636363636363637,0.23272727272727278,0.07636363636363641
banknote,0.05,0.4,0.5236363636363637,0.10181818181818181,0.3418181818181818,0.14181818181818184,0.0945454545454546,0.4436363636363636,0.18181818181818177,0.07636363636363641
banknote,0.05,0.3,0.4545454545454546,0.12363636363636366,0.46545454545454545,0.22545454545454546,0.2472727272727273,0.52,0.1709090909090909,0.07636363636363641
banknote,0.05,0.2,0.1890909090909091,0.05818181818181822,0.20363636363636362,0.3527272727272728,0.17818181818181822,0.2145454545454546,0.4,0.07636363636363641
banknote,0.05,0.1,0.4109090909090909,0.3345454545454546,0.047272727272727244,0.29454545454545455,0.1527272727272727,0.3745454545454545,0.5490909090909091,0.07636363636363641
banknote,0.05,0.0,0.23272727272727278,0.0690909090909092,0.26909090909090905,0.25090909090909086,0.6581818181818182,0.7709090909090909,0.28,0.07636363636363641
banknote,0.1,1.0,0.19272727272727275,0.12363636363636366,0.036363636363636376,0.0690909090909092,0.06545454545454543,0.10545454545454547,0.10909090909090913,0.07636363636363641
banknote,0.1,0.9,0.36,0.07999999999999996,0.12363636363636366,0.03272727272727283,0.06181818181818177,0.15636363636363637,0.12,0.07636363636363641
banknote,0.1,0.8,0.2981818181818182,0.07999999999999996,0.11272727272727268,0.16000000000000003,0.06545454545454543,0.0690909090909092,0.10545454545454547,0.07636363636363641
banknote,0.1,0.7,0.41454545454545455,0.021818181818181848,0.08727272727272717,0.17818181818181822,0.06545454545454543,0.12363636363636366,0.15636363636363637,0.07636363636363641
banknote,0.1,0.6,0.48363636363636364,0.07999999999999996,0.054545454545454564,0.047272727272727244,0.14181818181818184,0.16000000000000003,0.2218181818181818,0.07636363636363641
banknote,0.1,0.5,0.31999999999999995,0.043636363636363584,0.16727272727272724,0.24363636363636365,0.018181818181818188,0.1709090909090909,0.11272727272727268,0.07636363636363641
banknote,0.1,0.4,0.43272727272727274,0.0690909090909092,0.1454545454545455,0.20727272727272728,0.06181818181818177,0.22545454545454546,0.15636363636363637,0.07636363636363641
banknote,0.1,0.3,0.06181818181818177,0.18181818181818177,0.05818181818181822,0.0690909090909092,0.05090909090909079,0.5018181818181817,0.10181818181818181,0.07636363636363641
banknote,0.1,0.2,0.38909090909090893,0.07272727272727275,0.36363636363636365,0.19272727272727275,0.029090909090909167,0.5309090909090909,0.2909090909090909,0.07636363636363641
banknote,0.1,0.1,0.39636363636363636,0.0690909090909092,0.029090909090909167,0.22545454545454546,0.12,0.2218181818181818,0.34545454545454546,0.07636363636363641
banknote,0.1,0.0,0.29454545454545455,0.5345454545454544,0.28727272727272724,0.07272727272727275,0.42181818181818187,0.4545454545454546,0.11636363636363634,0.07636363636363641
banknote,0.25,1.0,0.09818181818181804,0.07272727272727275,0.018181818181818188,0.06181818181818177,0.06545454545454543,0.11272727272727268,0.1636363636363637,0.07636363636363641
